course_code,recovered_name,credit_units
CAM1202,SKETCHING AND DRAWING II,3
CAM1203,BASIC SCIENCE I,3
CAM1204,ELECTRICAL PRINCIPLES II,3
CBCP1101,MATHEMATICS I,3
CBCP1102,SKETCHING AND DRAWING I,3
CBCP1103,BASIC SCIENCE I,3
CBCP1104,ELECTRICAL PRINCIPLES I,3
CBCP1105,BUILDING CONSTRUCTION,3
CBCP1106,BASIC WORKSHOP TECHNOLOGY AND PRACTICE I,3
CBCP1201,MATHEMATICS II,3
CBCP1202,SKETCHING AND DRAWING II,3
CBCP1203,BASIC SCIENCE II,3
CBCP1204,BASIC WORKSHOP TECHNOLOGY AND PRACTICE II,3
CBCP1205,BUILDING CONSTRUCTION II,3
CBCP2101,MATHEMATICS III,3
CBCP2102,CIVIL DRAWING AND DESIGN I,3
CBCP2103,BASIC SCIENCE III,3
CBCP2104,CONCRETE TECHNOLOGY AND PRACTICE I,3
CBCP2105,BRICKLAYING I,3
CBCP2201,MATHEMATICS IV,3
CBCP2202,BASIC SCIENCE IV,3
CBCP2203,CONCRETE TECHNOLOGY AND PRACTICE II,3
CBCP2204,BRICKLAYING II,3
CBCP2206,INDUSTRIAL TRAINING,3
CCS1102,COMMUNICATION SKILLS,3
CEI1106,ELECTRICAL REGULATIONS & PRACTICES I,4
CEI1212,INDUSTRIAL TRAINING I,3
CEI2110,INDUSTRIAL ORIENTATION AND PRACTICE,3
