regno,acadyear,semester,studyyear,progid,item_code,item,amount,session,regstatus,status
MRU2021000667,2021/2022,1,1,BCE,1,Tuition,1455000,DAY,UNREGISTERED,PLANNED
MRU2021000667,2021/2022,1,1,BCE,52,Functional,1402000,DAY,UNREGISTERED,PLANNED
MRU2021000667,2021/2022,2,1,BCE,1,Tuition,1455000,DAY,UNREGISTERED,PLANNED
MRU2021000667,2021/2022,2,1,BCE,52,Functional,1312000,DAY,UNREGISTERED,PLANNED
MRU2021000667,2022/2023,1,2,BCE,1,Tuition,1455000,DAY,UNREGISTERED,PLANNED
MRU2021000667,2022/2023,1,2,BCE,52,Functional,1322000,DAY,UNREGISTERED,PLANNED
MRU2021000667,2022/2023,2,2,BCE,1,Tuition,1455000,DAY,UNREGISTERED,PLANNED
MRU2021000667,2022/2023,2,2,BCE,52,Functional,1488000,DAY,UNREGISTERED,PLANNED
MRU2021000667,2023/2024,1,3,BCE,1,Tuition,1455000,DAY,UNREGISTERED,PLANNED
MRU2021000667,2023/2024,1,3,BCE,52,Functional,1298000,DAY,UNREGISTERED,PLANNED
MRU2021000667,2023/2024,2,3,BCE,52,Functional,1488000,DAY,REGISTERED,PLANNED
MRU2021000669,2021/2022,1,1,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2021000669,2021/2022,1,1,BEICT,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2021000669,2021/2022,2,1,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2021000669,2021/2022,2,1,BEICT,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2021000669,2022/2023,1,2,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2021000669,2022/2023,1,2,BEICT,52,Functional,687000,DAY,UNREGISTERED,PLANNED
MRU2021000669,2022/2023,2,2,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2021000669,2022/2023,2,2,BEICT,52,Functional,853000,DAY,UNREGISTERED,PLANNED
MRU2021000669,2023/2024,2,3,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2021000669,2023/2024,2,3,BEICT,52,Functional,933000,DAY,UNREGISTERED,PLANNED
MRU2021000681,2021/2022,1,1,BMC,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000681,2021/2022,1,1,BMC,52,Functional,887000,DAY,UNREGISTERED,PLANNED
