ID	assigned_prog	course	yr	sem	course_name	lect_assigned	progs_with_students	progs_with_marks
1328	BSM	ICT2201B	1	1	EVENT DRIVEN PROGRAMMING	NO	BEICT|BIT	BBC|BCS|BED(S)|BEICT|BIT
1331	BSM	MGT2102B	1	1	INDUSTRIAL RELATIONS	NO	BHRM	|BHRM|BPA|DPE
2473	BVS	PRC2101B	2	1	MARKETING MANAGEMENT	NO	BAED|BBA|BCOM|BEICT|BPLM|BSAF|DBA	BAED|BBA|BBM|BCOM|BEICT|BEM|BPLM|BSAF|DAF|DBA|DBM|DPLM
2506	BVS	MGT2201B	2	2	HUMAN RESOURCE MANAGEMENT	NO	BAED|BBA|BCOM|BEICT|BPLM|BSM|DPA	BAED|BBA|BBC|BBM|BCOM|BEICT|BEM|BHRM|BMF|BPA|BPLM|BSAF|BSDE|BSM|DBA|DPE|DSE
2503	BVS	MGT2203D	2	2	PRODUCTION AND OPERATIONS MANAGEMENT	NO	BAED|BBA|BEICT|DAF|DBA	BAED|BEICT|DAF|DBA|DBM|DPA|DSE
2448	BVS	FIN3102B	3	1	MANAGERIAL ECONOMICS	NO	BAED|BBA|BCOM|BHRM|BPA|BPLM|BSAF|BSM	BAED|BBA|BBC|BBM|BCOM|BEM|BES|BHRM|BMF|BPA|BPLM|BSAF|BSDE|BSM|DPE
2454	BVS	FIN3106B	3	1	ADVANCED ACCOUNTING	NO	BAED|BBA|BCOM|BEICT|BSAF	BAED|BBA|BBM|BCOM|BSAF
2440	BVS	MGT3101B	3	1	STRATEGIC MANAGEMENT	NO	BAED|BBA|BCOM|BEICT|BHRM|BPLM|BSAF	BAED|BBA|BBC|BBM|BCOM|BEICT|BEM|BHRM|BMF|BPA|BPLM|BSAF|BSDE|DPE
5538	CAD	BLL1101	1	1	INTRODUCTION TO THE STUDY OF LUGANDA LANGUAGE EDUCATION	NO	BAED|BEICT	BAED|BEICT
5539	CAD	BLL1102	1	1	PRINCIPLES OF TRANSLATION IN LUGANDA	NO	BAED|BEICT	BAED|BEICT
5540	CAD	BSA1101	1	1	SOCIAL AND ADOLESCENT PSYCHOLOGY	NO	BAED|BEICT|BVS	|BAED|BEICT|BVS
5113	CAD	CME2201	1	1	MATHEMATICS IV 	NO	ACAD	CMEC
5113	CAD	CME2201	1	1	MATHEMATICS IV	NO	ACAD	CMEC
100	CAD	FIN6111	1	1	ADVANCED MANAGERIAL AND FINANCIAL ACCOUNTING	NO	MBA|PGD|TEST	|MBA
5541	CAD	ICT1101B	1	1	PRINCIPLES OF PROGRAMMING	NO	BBEI|BEICT|BIT|BMC|BPLM	BAED|BBC|BCE|BCS|BEE|BEICT|BIFA|BIT|BMC|BSE|BVS|DEE|DIT
5542	CAD	ICT1104B	1	1	WEBSITE DESIGN AND INTERNET TECHNOLOGY	NO	BEICT|BIT|BSM|BVS	BBC|BCS|BEICT|BIFA|BIT|BLIS|BSE|BSM|DIT
5501	CAD	ICT1108B	1	1	 COMPUTER LITERACY	NO	BAED|BBA|BCOM|BDS|BEICT|BHRM|BIFA|BIT|BMC|BPA|BPLM|BSAF|BSM|BTHM|BVS|SWSA|TEST	|ACAD|BAED|BBA|BBC|BBM|BCE|BCOM|BDS|BED(S)|BEE|BEICT|BEM|BES|BHRM|BIFA|BIT|BLIS|BMC|BMF|BPA|BPLM|BSAF|BSDE|BSM|BTHM|BVS|DAD|DAF|DEE|DIT|DPE|SWSA
5543	CAD	BCU1201	1	2	FOUNDATIONS OF CURRICULUM STUDIES	NO	BAED|BEICT|BVS	BADE|BAED|BAED/A|BEICT|BSCED|BSCEDU|BVS
5544	CAD	BEF1201	1	2	SOCIOLOGICAL FOUNDATIONS OF EDUCATION 	NO	BAED|BEICT|BVS	BADE|BAED|BAED/A|BED(P)|BEICT|BSCED|BSCEDU|BVS
